Stock,Date,Open,High,Low,Close,Volume,Adjusted
BB,8/17/2020,4.79,4.85,4.77,4.81,1842300,4.81
BB,8/18/2020,4.81,4.86,4.74,4.79,2432900,4.79
BB,8/19/2020,4.84,4.87,4.75,4.78,2641700,4.78
BB,8/20/2020,4.74,4.85,4.72,4.83,2103300,4.83
BB,8/21/2020,4.8,4.84,4.73,4.75,2038200,4.75
BB,8/24/2020,4.8,4.84,4.74,4.79,2528200,4.79
BB,8/25/2020,4.8,4.88,4.77,4.78,2470300,4.78
BB,8/26/2020,4.83,5.21,4.8,5.08,7741000,5.08
BB,8/27/2020,5.12,5.17,4.97,5.03,3544300,5.03
BB,8/28/2020,5.13,5.3,5.1,5.23,3993900,5.23
BB,8/31/2020,5.27,5.32,5.15,5.22,4303000,5.22
BB,9/1/2020,5.25,5.59,5.21,5.58,6662900,5.58
BB,9/2/2020,5.65,5.66,5.41,5.52,5100100,5.52
BB,9/3/2020,5.43,5.44,5.13,5.18,5338800,5.18
BB,9/4/2020,5.07,5.2,4.87,5.11,5839600,5.11
